2018-01-18 14:56:19 status installed openvpn:armhf 2.4.0-6+deb9u2
2018-01-18 14:56:20 trigproc systemd:armhf 232-25+deb9u1 <none>
2018-01-18 14:56:20 status half-configured systemd:armhf 232-25+deb9u1
2018-01-18 14:56:20 status installed systemd:armhf 232-25+deb9u1
2018-01-18 15:10:40 startup archives unpack
2018-01-18 15:10:40 install liberror-perl:all <none> 0.17024-1
2018-01-18 15:10:40 status half-installed liberror-perl:all 0.17024-1
2018-01-18 15:10:40 status triggers-pending man-db:armhf 2.7.6.1-2
2018-01-18 15:10:40 status unpacked liberror-perl:all 0.17024-1
2018-01-18 15:10:40 status unpacked liberror-perl:all 0.17024-1
2018-01-18 15:10:41 install git-man:all <none> 1:2.11.0-3+deb9u2
2018-01-18 15:10:41 status half-installed git-man:all 1:2.11.0-3+deb9u2
2018-01-18 15:10:42 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-01-18 15:10:42 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-01-18 15:10:42 install git:armhf <none> 1:2.11.0-3+deb9u2
2018-01-18 15:10:42 status half-installed git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:10:50 status unpacked git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:10:51 status unpacked git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:10:51 startup packages configure
2018-01-18 15:10:51 configure git-man:all 1:2.11.0-3+deb9u2 <none>
2018-01-18 15:10:51 status unpacked git-man:all 1:2.11.0-3+deb9u2
2018-01-18 15:10:51 status half-configured git-man:all 1:2.11.0-3+deb9u2
2018-01-18 15:10:51 status installed git-man:all 1:2.11.0-3+deb9u2
2018-01-18 15:10:51 configure liberror-perl:all 0.17024-1 <none>
2018-01-18 15:10:51 status unpacked liberror-perl:all 0.17024-1
2018-01-18 15:10:51 status half-configured liberror-perl:all 0.17024-1
2018-01-18 15:10:52 status installed liberror-perl:all 0.17024-1
2018-01-18 15:10:52 trigproc man-db:armhf 2.7.6.1-2 <none>
2018-01-18 15:10:52 status half-configured man-db:armhf 2.7.6.1-2
2018-01-18 15:11:15 status installed man-db:armhf 2.7.6.1-2
2018-01-18 15:11:15 configure git:armhf 1:2.11.0-3+deb9u2 <none>
2018-01-18 15:11:15 status unpacked git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:11:15 status unpacked git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:11:15 status half-configured git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:11:15 status installed git:armhf 1:2.11.0-3+deb9u2
2018-01-18 15:11:45 startup archives unpack
2018-01-18 15:11:45 upgrade base-files:armhf 9.9+rpi1+deb9u1 9.9+rpi1+deb9u3
2018-01-18 15:11:45 status half-configured base-files:armhf 9.9+rpi1+deb9u1
2018-01-18 15:11:45 status unpacked base-files:armhf 9.9+rpi1+deb9u1
2018-01-18 15:11:45 status half-installed base-files:armhf 9.9+rpi1+deb9u1
2018-01-18 15:11:45 status triggers-pending install-info:armhf 6.3.0.dfsg.1-1+b1
2018-01-18 15:11:45 status triggers-pending man-db:armhf 2.7.6.1-2
2018-01-18 15:11:45 status half-installed base-files:armhf 9.9+rpi1+deb9u1
2018-01-18 15:11:45 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:45 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 startup packages configure
2018-01-18 15:11:46 configure base-files:armhf 9.9+rpi1+deb9u3 <none>
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status unpacked base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status half-configured base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 status installed base-files:armhf 9.9+rpi1+deb9u3
2018-01-18 15:11:46 startup archives unpack
2018-01-18 15:11:47 upgrade python2.7:armhf 2.7.13-2 2.7.13-2+deb9u2
2018-01-18 15:11:47 status half-configured python2.7:armhf 2.7.13-2
2018-01-18 15:11:47 status unpacked python2.7:armhf 2.7.13-2
2018-01-18 15:11:47 status half-installed python2.7:armhf 2.7.13-2
2018-01-18 15:11:47 status triggers-pending mime-support:all 3.60
2018-01-18 15:11:47 status half-installed python2.7:armhf 2.7.13-2
2018-01-18 15:11:47 status unpacked python2.7:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:48 status unpacked python2.7:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:48 upgrade libsqlite3-0:armhf 3.16.2-5 3.16.2-5+deb9u1
2018-01-18 15:11:48 status triggers-pending libc-bin:armhf 2.24-11+deb9u1
2018-01-18 15:11:48 status half-configured libsqlite3-0:armhf 3.16.2-5
2018-01-18 15:11:48 status unpacked libsqlite3-0:armhf 3.16.2-5
2018-01-18 15:11:48 status half-installed libsqlite3-0:armhf 3.16.2-5
2018-01-18 15:11:52 status half-installed libsqlite3-0:armhf 3.16.2-5
2018-01-18 15:11:52 status unpacked libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-18 15:11:52 status unpacked libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-18 15:11:52 startup packages configure
2018-01-18 15:11:52 configure libsqlite3-0:armhf 3.16.2-5+deb9u1 <none>
2018-01-18 15:11:52 status unpacked libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-18 15:11:52 status half-configured libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-18 15:11:52 status installed libsqlite3-0:armhf 3.16.2-5+deb9u1
2018-01-18 15:11:53 startup archives unpack
2018-01-18 15:11:53 upgrade libpython2.7-stdlib:armhf 2.7.13-2 2.7.13-2+deb9u2
2018-01-18 15:11:53 status half-configured libpython2.7-stdlib:armhf 2.7.13-2
2018-01-18 15:11:53 status unpacked libpython2.7-stdlib:armhf 2.7.13-2
2018-01-18 15:11:53 status half-installed libpython2.7-stdlib:armhf 2.7.13-2
2018-01-18 15:11:55 status half-installed libpython2.7-stdlib:armhf 2.7.13-2
2018-01-18 15:11:55 status unpacked libpython2.7-stdlib:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:55 status unpacked libpython2.7-stdlib:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:56 upgrade python2.7-minimal:armhf 2.7.13-2 2.7.13-2+deb9u2
2018-01-18 15:11:56 status half-configured python2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:56 status unpacked python2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:56 status half-installed python2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:57 status half-installed python2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:57 status unpacked python2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:57 status unpacked python2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:57 upgrade libpython2.7-minimal:armhf 2.7.13-2 2.7.13-2+deb9u2
2018-01-18 15:11:57 status half-configured libpython2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:57 status unpacked libpython2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:57 status half-installed libpython2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:57 status half-installed libpython2.7-minimal:armhf 2.7.13-2
2018-01-18 15:11:58 status unpacked libpython2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:58 status unpacked libpython2.7-minimal:armhf 2.7.13-2+deb9u2
2018-01-18 15:11:58 upgrade openssh-sftp-server:armhf 1:7.4p1-10+deb9u1 1:7.4p1-10+deb9u2
2018-01-18 15:11:58 status half-configured openssh-sftp-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:11:58 status unpacked openssh-sftp-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:11:58 status half-installed openssh-sftp-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:11:58 status half-installed openssh-sftp-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:11:58 status unpacked openssh-sftp-server:armhf 1:7.4p1-10+deb9u2
2018-01-18 15:11:58 status unpacked openssh-sftp-server:armhf 1:7.4p1-10+deb9u2
2018-01-18 15:11:58 upgrade libssl1.0.2:armhf 1.0.2l-2+deb9u1 1.0.2l-2+deb9u2
2018-01-18 15:11:58 status half-configured libssl1.0.2:armhf 1.0.2l-2+deb9u1
2018-01-18 15:11:58 status unpacked libssl1.0.2:armhf 1.0.2l-2+deb9u1
2018-01-18 15:11:58 status half-installed libssl1.0.2:armhf 1.0.2l-2+deb9u1
2018-01-18 15:11:59 status half-installed libssl1.0.2:armhf 1.0.2l-2+deb9u1
2018-01-18 15:11:59 status unpacked libssl1.0.2:armhf 1.0.2l-2+deb9u2
2018-01-18 15:11:59 status unpacked libssl1.0.2:armhf 1.0.2l-2+deb9u2
2018-01-18 15:11:59 upgrade openssh-server:armhf 1:7.4p1-10+deb9u1 1:7.4p1-10+deb9u2
2018-01-18 15:11:59 status half-configured openssh-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:11:59 status unpacked openssh-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:11:59 status half-installed openssh-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:12:00 status triggers-pending systemd:armhf 232-25+deb9u1
2018-01-18 15:12:00 status half-installed openssh-server:armhf 1:7.4p1-10+deb9u1
2018-01-18 15:12:01 status unpacked openssh-server:armhf 1:7.4p1-10+deb9u2
